id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
1555,COMP_M,6,6_30,6_(29-30),102,103,90,40,6_29,40.76236044657097,4796.132766411169,4836.895126857739,4045.707563741484,4051.0407370736893
793,COMP_M,7,7_36,7_(35-36),105,106,35,22,7_35,83.87055837563452,4796.144036999799,4880.014595375434,2822.7276717891004,2837.727801419434
3245,COMP_M,8,8_45,8_(43-45),113,115,29,0,8_43,41.98777777777778,4796.988247562897,4838.976025340675,4765.855561485794,4775.855680609608
1908,COMP_M,6,6_29,M.USER.APP.6,17,102,83,90,None,34.22354340071344,4798.62551855718,4832.849061957893,2800.0,2820.0001453188797
894,COMP_M,14,14_76,M.USER.APP.14,53,147,98,2,None,42.24537607891492,4799.236842952753,4841.482219031668,1300.0,1315.0001343913198
2674,COMP_M,5,5_25,5_(24-25),94,95,70,18,5_24,47.50815850815851,4799.666095444271,4847.17425395243,4784.665962536231,4799.666095444271
1352,COMP_M,7,7_35,M.USER.APP.7,21,105,64,35,None,48.26299045599151,4801.51028048476,4849.773270940752,2000.0,2033.5083296222774
534,COMP_M,13,13_68,M.USER.APP.13,43,138,67,58,None,111.5065502183406,4803.275211433453,4914.781761651793,800.0,820.0001022631466
251,COMP_M,13,13_73,13_(69-73),139,143,55,89,13_69,79.07421875,4804.415244326078,4883.489463076078,4794.415148147652,4804.415244326078
251,COMP_M,13,13_75,13_(69-75),139,145,55,70,13_69,130.26958525345623,4804.415255226052,4934.684840479508,4794.415148147652,4804.415255226052
2674,COMP_M,5,5_27,5_(24-27),94,97,70,26,5_24,65.0860655737705,4804.666093569431,4869.752159143201,4784.665962536231,4804.666093569431
2674,COMP_M,5,5_26,5_(24-26),94,96,70,45,5_24,66.55813953488372,4804.66612609679,4871.224265631674,4784.665962536231,4804.66612609679
3360,COMP_M,19,19_102,M.USER.APP.19,69,174,9,33,None,60.69910514541387,4805.000049633213,4865.699154778627,4800.0,4805.000049633213
2056,COMP_M,8,8_47,8_(43-47),113,117,29,34,8_43,79.9623352165725,4805.061067369792,4885.023402586365,3037.9278195503102,3062.9280164471497
1568,COMP_M,10,10_57,10_(52-57),122,127,90,49,10_52,104.35818181818182,4805.375011270165,4909.7331930883465,3212.6636760559036,3233.798752066964
2339,COMP_M,10,10_56,10_(52-56),122,126,90,9,10_52,37.741336633663366,4805.802909093792,4843.544245727455,4790.802796151032,4805.802909093792
720,COMP_M,7,7_39,7_(38-39),108,109,44,52,7_38,67.59233449477352,4808.355012120227,4875.947346615,4788.354836933948,4808.355012120227
717,COMP_M,6,6_34,6_(30-34),103,101,40,1,6_30,90.36470588235294,4808.586146522004,4898.950852404357,2268.866418723764,2278.866529297124
891,COMP_M,14,14_77,14_(76-77),147,148,2,86,14_76,39.83307332293292,4809.236953452967,4849.0700267759,4799.236842952753,4809.236953452967
3296,COMP_M,2,2_10,M.USER.APP.2,5,80,3,4,None,56.79434850863422,4810.000075751361,4866.794424259995,4800.0,4810.000075751361
3316,COMP_M,8,8_43,M.USER.APP.8,25,113,46,29,None,27.927741935483873,4810.000077614826,4837.92781955031,4800.0,4810.000077614826
1559,COMP_M,6,6_32,6_(30-32),103,99,40,20,6_30,37.45,4810.802953464739,4848.252953464739,4796.132766411169,4810.802953464739
2339,COMP_M,10,10_53,10_(52-53),122,123,90,44,10_52,39.21399594320487,4810.803012505138,4850.017008448343,4790.802796151032,4810.803012505138
410,COMP_M,15,15_86,15_(85-86),155,156,80,93,15_85,146.58841463414635,4812.843348914123,4959.431763548269,2991.081396859223,3011.0815371717563
251,COMP_M,13,13_70,13_(69-70),139,140,55,86,13_69,33.811232449297975,4814.415320919013,4848.22655336831,4794.415148147652,4814.415320919013
3291,COMP_M,0,0_0,M.USER.APP.0,0,70,20,19,None,64.89208633093526,4814.666179698018,4879.558266028953,4800.0,4814.666179698018
